X,Y,Z,Red,Green,Blue,Classification,Classification Name
317228.73,6397500.00,26.16,0,0,0,1,Unclassified
317228.92,6397500.03,26.19,0,0,0,1,Unclassified
317229.11,6397500.06,26.16,0,0,0,1,Unclassified
317228.72,6397500.04,26.16,0,0,0,1,Unclassified
317228.51,6397500.00,26.20,0,0,0,1,Unclassified
317217.12,6397500.00,24.47,0,0,0,1,Unclassified
317208.74,6397500.01,26.24,0,0,0,1,Unclassified
317216.25,6397500.00,42.98,0,0,0,1,Unclassified
317216.50,6397500.03,43.18,0,0,0,1,Unclassified
317215.78,6397500.01,42.88,0,0,0,1,Unclassified
317214.48,6397500.05,39.59,0,0,0,1,Unclassified
317207.99,6397500.00,26.32,0,0,0,1,Unclassified
317203.68,6397500.01,37.81,0,0,0,1,Unclassified
317206.56,6397500.00,44.28,0,0,0,1,Unclassified
317205.11,6397500.03,41.99,0,0,0,1,Unclassified
317203.71,6397500.02,39.16,0,0,0,1,Unclassified
317199.17,6397500.00,29.58,0,0,0,1,Unclassified
317189.89,6397500.05,29.01,0,0,0,1,Unclassified
317188.95,6397500.03,28.94,0,0,0,1,Unclassified
317185.12,6397500.04,43.28,0,0,0,1,Unclassified
317173.29,6397500.00,37.19,0,0,0,1,Unclassified
317175.03,6397500.03,40.54,0,0,0,1,Unclassified
317171.83,6397500.06,35.47,0,0,0,1,Unclassified
317155.39,6397500.05,42.27,0,0,0,1,Unclassified
317121.52,6397500.03,33.20,0,0,0,1,Unclassified
317088.66,6397500.04,29.17,0,0,0,1,Unclassified
317058.07,6397500.00,28.01,0,0,0,1,Unclassified
317036.81,6397500.04,25.31,0,0,0,1,Unclassified
317028.37,6397500.01,24.37,0,0,0,1,Unclassified
317024.49,6397500.04,19.24,0,0,0,1,Unclassified
317006.28,6397500.01,18.78,0,0,0,1,Unclassified
317004.38,6397500.01,19.14,0,0,0,1,Unclassified
316965.95,6397500.02,18.65,0,0,0,1,Unclassified
316949.88,6397500.05,19.62,0,0,0,1,Unclassified
316930.43,6397500.03,18.59,0,0,0,1,Unclassified
316931.45,6397500.03,20.80,0,0,0,1,Unclassified
316876.92,6397500.01,25.05,0,0,0,1,Unclassified
316786.48,6397500.01,19.80,0,0,0,1,Unclassified
316698.44,6397500.00,24.89,0,0,0,1,Unclassified
316680.02,6397500.02,26.05,0,0,0,1,Unclassified
316664.07,6397500.02,32.99,0,0,0,1,Unclassified
316628.12,6397500.03,37.11,0,0,0,1,Unclassified
316589.91,6397500.01,41.90,0,0,0,1,Unclassified
316573.55,6397500.00,46.03,0,0,0,1,Unclassified
316566.73,6397500.00,45.91,0,0,0,1,Unclassified
316471.33,6397500.00,23.61,0,0,0,1,Unclassified
316379.07,6397500.00,19.79,0,0,0,1,Unclassified
316249.90,6397500.01,20.22,0,0,0,1,Unclassified
316165.27,6397500.00,22.41,0,0,0,1,Unclassified
316151.15,6397500.01,23.14,0,0,0,1,Unclassified
316092.22,6397500.00,25.84,0,0,0,1,Unclassified
315992.35,6397500.01,29.81,0,0,0,1,Unclassified
315953.41,6397500.01,30.33,0,0,0,1,Unclassified
315909.28,6397500.00,30.86,0,0,0,1,Unclassified
316204.21,6397500.01,670.31,0,0,0,1,Unclassified
315856.00,6397500.00,38.63,0,0,0,1,Unclassified
315840.64,6397500.01,31.29,0,0,0,1,Unclassified
315837.49,6397500.00,31.39,0,0,0,1,Unclassified
315793.44,6397500.01,32.27,0,0,0,1,Unclassified
315778.82,6397500.01,33.43,0,0,0,1,Unclassified
315769.35,6397500.01,33.71,0,0,0,1,Unclassified
315733.51,6397500.01,43.95,0,0,0,1,Unclassified
315681.06,6397500.00,37.45,0,0,0,1,Unclassified
315000.00,6399236.19,12.28,0,0,0,1,Unclassified
315000.01,6399236.34,12.33,0,0,0,1,Unclassified
315000.02,6399236.51,12.33,0,0,0,2,Ground
315000.03,6399236.67,12.38,0,0,0,2,Ground
315000.05,6399236.83,12.39,0,0,0,2,Ground
315000.06,6399236.98,12.39,0,0,0,2,Ground
315000.07,6399237.12,12.41,0,0,0,2,Ground
315000.07,6399237.25,12.45,0,0,0,2,Ground
315000.09,6399237.39,12.44,0,0,0,2,Ground
315000.09,6399237.51,12.50,0,0,0,1,Unclassified
315000.10,6399237.64,12.48,0,0,0,2,Ground
315000.11,6399237.75,12.55,0,0,0,1,Unclassified
315000.12,6399237.87,12.55,0,0,0,2,Ground
315000.12,6399237.97,12.58,0,0,0,1,Unclassified
315000.13,6399238.09,12.56,0,0,0,2,Ground
315000.14,6399238.17,12.61,0,0,0,1,Unclassified
315000.15,6399238.29,12.56,0,0,0,1,Unclassified
315000.16,6399238.39,12.56,0,0,0,1,Unclassified
315000.17,6399238.48,12.56,0,0,0,1,Unclassified
315000.17,6399238.56,12.57,0,0,0,1,Unclassified
315000.18,6399238.64,12.57,0,0,0,1,Unclassified
315000.18,6399238.71,12.59,0,0,0,1,Unclassified
315000.19,6399238.79,12.57,0,0,0,2,Ground
315000.19,6399238.84,12.61,0,0,0,1,Unclassified
315000.20,6399238.90,12.59,0,0,0,1,Unclassified
315000.20,6399238.96,12.60,0,0,0,1,Unclassified
315000.21,6399239.02,12.55,0,0,0,2,Ground
315000.22,6399239.06,12.57,0,0,0,1,Unclassified
315000.22,6399239.11,12.53,0,0,0,1,Unclassified
315000.22,6399239.14,12.55,0,0,0,1,Unclassified
315000.23,6399239.17,12.54,0,0,0,1,Unclassified
315000.23,6399239.20,12.53,0,0,0,1,Unclassified
315000.23,6399239.22,12.53,0,0,0,1,Unclassified
315000.23,6399239.23,12.55,0,0,0,1,Unclassified
315000.24,6399239.24,12.54,0,0,0,1,Unclassified
315000.24,6399239.24,12.54,0,0,0,1,Unclassified
315000.24,6399239.24,12.53,0,0,0,1,Unclassified
315000.24,6399239.24,12.54,0,0,0,1,Unclassified
315000.24,6399239.22,12.54,0,0,0,1,Unclassified
315000.24,6399239.19,12.54,0,0,0,1,Unclassified
315000.24,6399239.18,12.51,0,0,0,2,Ground
315000.23,6399239.13,12.56,0,0,0,1,Unclassified
315000.23,6399239.12,12.52,0,0,0,2,Ground
315000.23,6399239.07,12.56,0,0,0,1,Unclassified
315000.23,6399239.03,12.54,0,0,0,2,Ground
315000.22,6399238.97,12.58,0,0,0,2,Ground
315000.22,6399238.92,12.58,0,0,0,2,Ground
315000.21,6399238.86,12.61,0,0,0,1,Unclassified
315000.21,6399238.81,12.57,0,0,0,2,Ground
315000.20,6399238.74,12.60,0,0,0,1,Unclassified
315000.20,6399238.68,12.55,0,0,0,2,Ground
315000.20,6399238.59,12.57,0,0,0,1,Unclassified
315000.20,6399238.53,12.53,0,0,0,2,Ground
315000.18,6399238.42,12.57,0,0,0,1,Unclassified
315000.18,6399238.34,12.55,0,0,0,2,Ground
315000.17,6399238.24,12.55,0,0,0,2,Ground
315000.17,6399238.14,12.57,0,0,0,2,Ground
315000.16,6399238.03,12.57,0,0,0,2,Ground
315000.15,6399237.92,12.57,0,0,0,2,Ground
315000.14,6399237.81,12.54,0,0,0,2,Ground
315000.14,6399237.71,12.48,0,0,0,2,Ground
315000.13,6399237.58,12.48,0,0,0,2,Ground
315000.13,6399237.45,12.45,0,0,0,2,Ground
315000.12,6399237.32,12.44,0,0,0,2,Ground
315000.11,6399237.20,12.39,0,0,0,2,Ground
315000.10,6399237.05,12.40,0,0,0,2,Ground
315000.09,6399236.91,12.37,0,0,0,2,Ground
315000.09,6399236.76,12.34,0,0,0,2,Ground
315000.08,6399236.61,12.30,0,0,0,2,Ground
315000.07,6399236.44,12.30,0,0,0,2,Ground
315000.06,6399236.29,12.26,0,0,0,2,Ground
315000.05,6399236.13,12.23,0,0,0,2,Ground
315000.04,6399235.96,12.20,0,0,0,2,Ground
315000.03,6399235.77,12.19,0,0,0,2,Ground
315000.02,6399235.59,12.16,0,0,0,2,Ground
315000.00,6399235.39,12.15,0,0,0,2,Ground
315000.01,6399210.44,10.22,0,0,0,2,Ground
315000.04,6399210.94,10.29,0,0,0,2,Ground
315000.07,6399211.46,10.35,0,0,0,2,Ground
315000.10,6399211.94,10.50,0,0,0,2,Ground
315000.13,6399212.44,10.60,0,0,0,2,Ground
315000.16,6399212.93,10.71,0,0,0,2,Ground
315000.19,6399213.41,10.76,0,0,0,2,Ground
315000.22,6399213.90,10.85,0,0,0,2,Ground
315000.25,6399214.37,10.93,0,0,0,2,Ground
315000.28,6399214.84,11.03,0,0,0,2,Ground
315000.32,6399215.32,11.08,0,0,0,2,Ground
315000.34,6399215.78,11.17,0,0,0,2,Ground
315000.38,6399216.25,11.22,0,0,0,2,Ground
315000.41,6399216.71,11.30,0,0,0,2,Ground
315000.40,6399214.44,10.89,0,0,0,2,Ground
315000.37,6399213.97,10.83,0,0,0,2,Ground
315000.34,6399213.50,10.71,0,0,0,2,Ground
315000.31,6399212.99,10.69,0,0,0,2,Ground
315000.28,6399212.51,10.59,0,0,0,2,Ground
315000.24,6399211.99,10.54,0,0,0,2,Ground
315000.22,6399211.53,10.35,0,0,0,2,Ground
315000.19,6399211.01,10.30,0,0,0,2,Ground
315000.16,6399210.50,10.23,0,0,0,2,Ground
315000.12,6399209.97,10.19,0,0,0,2,Ground
315000.09,6399209.47,10.07,0,0,0,2,Ground
315000.06,6399208.94,9.99,0,0,0,2,Ground
315000.01,6399208.40,9.94,0,0,0,2,Ground
315000.09,6399183.75,8.53,0,0,0,2,Ground
315000.14,6399184.46,8.57,0,0,0,2,Ground
315000.20,6399185.20,8.57,0,0,0,2,Ground
315000.25,6399185.93,8.56,0,0,0,2,Ground
315000.31,6399186.65,8.60,0,0,0,2,Ground
315000.36,6399187.37,8.56,0,0,0,2,Ground
315000.41,6399188.07,8.62,0,0,0,2,Ground
315000.37,6399184.67,8.58,0,0,0,2,Ground
315000.32,6399183.95,8.55,0,0,0,2,Ground
315000.26,6399183.19,8.62,0,0,0,2,Ground
315000.04,6399161.79,7.94,0,0,0,2,Ground
315000.10,6399162.64,7.96,0,0,0,2,Ground
315000.16,6399163.48,8.01,0,0,0,2,Ground
315000.23,6399164.33,8.00,0,0,0,2,Ground
315000.29,6399165.16,8.03,0,0,0,2,Ground
315000.36,6399166.02,8.01,0,0,0,2,Ground
315000.39,6399162.63,7.97,0,0,0,2,Ground
315000.33,6399161.78,7.91,0,0,0,2,Ground
315000.26,6399160.91,7.93,0,0,0,2,Ground
315000.20,6399160.07,7.89,0,0,0,2,Ground
315000.13,6399159.19,7.91,0,0,0,2,Ground
315000.07,6399158.32,7.87,0,0,0,2,Ground
315000.01,6399157.45,7.86,0,0,0,2,Ground
315000.04,6399132.89,26.86,0,0,0,1,Unclassified
315000.15,6399133.94,26.55,0,0,0,1,Unclassified
315000.25,6399135.00,26.26,0,0,0,1,Unclassified
315000.35,6399136.03,25.95,0,0,0,1,Unclassified
315000.39,6399133.41,26.73,0,0,0,1,Unclassified
315000.29,6399132.37,26.98,0,0,0,1,Unclassified
315000.19,6399131.33,27.22,0,0,0,1,Unclassified
315000.09,6399130.28,27.49,0,0,0,1,Unclassified
315000.00,6399129.24,27.67,0,0,0,1,Unclassified
315000.19,6399091.45,8.81,0,0,0,1,Unclassified
315000.03,6399109.70,28.75,0,0,0,1,Unclassified
315000.11,6399110.72,28.84,0,0,0,1,Unclassified
315000.18,6399111.76,28.87,0,0,0,1,Unclassified
315000.25,6399112.78,28.96,0,0,0,1,Unclassified
315000.33,6399113.79,29.00,0,0,0,1,Unclassified
315000.40,6399114.82,29.04,0,0,0,1,Unclassified
315000.39,6399109.26,28.73,0,0,0,1,Unclassified
315000.32,6399108.25,28.60,0,0,0,1,Unclassified
